original_id	canonical_id
royals:wp:en:count-of-mazarin	royals:wp:en:count-of-mazarin
royals:wp:en:county-of-raccuja	royals:wp:en:county-of-raccuja
royals:wp:en:count-of-raccuja	royals:wp:en:count-of-raccuja
royals:wp:en:count-of-mazzarino	royals:wp:en:count-of-mazzarino
royals:wp:en:prince-of-anzi	royals:wp:en:prince-of-anzi
royals:wp:en:prince-of-avella	royals:wp:en:prince-of-avella
royals:wp:en:prince-of-belvedere	royals:wp:en:prince-of-belvedere
royals:wp:en:prince-of-chiusano	royals:wp:en:prince-of-chiusano
royals:wp:en:prince-of-pietrelcina	royals:wp:en:prince-of-pietrelcina
royals:wp:en:prince-of-sepino	royals:wp:en:prince-of-sepino
royals:wp:en:prince-of-stigliano	royals:wp:en:prince-of-stigliano
royals:wp:en:giorgiana-corsini	royals:wp:en:giorgiana-corsini
royals:wp:en:marquess-of-pescara	royals:wp:en:marquess-of-pescara
royals:wp:en:marchioness-of-pescara	royals:wp:en:marchioness-of-pescara
royals:wp:en:prince-of-monteroduni	royals:wp:en:prince-of-monteroduni
royals:wp:en:cati-family	royals:wp:en:cati-family
royals:wp:en:princess-maria-adelaide-of-bourbon-parma	royals:wp:en:princess-maria-adelaide-of-bourbon-parma
royals:wp:en:princess-francesca-of-bourbon-parma	royals:wp:en:princess-francesca-of-bourbon-parma
royals:wp:en:count-of-sabaudia	royals:wp:en:count-of-sabaudia
royals:wp:en:marquessate-of-susa	royals:wp:en:marquessate-of-susa
royals:wp:en:giuseppe-maria-di-savoia-carignano-count-of-villafranca	royals:wp:en:giuseppe-maria-di-savoia-carignano-count-of-villafranca
royals:wp:en:joseph-marie-de-savoie-carignan-count-of-villafranca	royals:wp:en:joseph-marie-de-savoie-carignan-count-of-villafranca
royals:wp:en:pauline-antoinette-de-quélen-de-stuer-de-caussade	royals:wp:en:pauline-antoinette-de-quélen-de-stuer-de-caussade
royals:wp:en:élisabeth-anne-magon-de-boisgarin	royals:wp:en:élisabeth-anne-magon-de-boisgarin
royals:wp:en:marquess-of-cerchiara	royals:wp:en:marquess-of-cerchiara
royals:wp:en:prince-of-monteroduni	royals:wp:en:prince-of-monteroduni
royals:wp:en:filippo-rospigliosi-11th-prince-rospigliosi-and-12th-earl-of-newburgh	royals:wp:en:filippo-rospigliosi-11th-prince-rospigliosi-and-12th-earl-of-newburgh
royals:wp:en:prince-of-monteverde	royals:wp:en:prince-of-monteverde
royals:wp:en:prince-of-viggiano	royals:wp:en:prince-of-viggiano
royals:wp:en:duke-of-rhodes	royals:wp:en:duke-of-rhodes
royals:wp:en:duke-of-bagnoli	royals:wp:en:duke-of-bagnoli
royals:wp:en:duke-of-laureana-cilento	royals:wp:en:duke-of-laureana-cilento
