original_id	canonical_id
royals:ck2:904	royals:ck2:904
royals:ck2:905	royals:ck2:905
royals:ck2:112358	royals:ck2:112358
royals:ck2:55403	royals:ck2:55403
royals:ck2:906	royals:ck2:906
royals:ck2:907	royals:ck2:907
royals:ck2:908	royals:ck2:908
royals:ck2:909	royals:ck2:909
royals:ck2:910	royals:ck2:910
royals:ck2:911	royals:ck2:911
royals:ck2:912	royals:ck2:912
royals:ck2:913	royals:ck2:913
royals:ck2:914	royals:ck2:914
royals:ck2:915	royals:ck2:915
royals:ck2:916	royals:ck2:916
royals:ck2:917	royals:ck2:917
royals:ck2:918	royals:ck2:918
royals:ck2:919	royals:ck2:919
royals:ck2:920	royals:ck2:920
royals:ck2:921	royals:ck2:921
royals:ck2:922	royals:ck2:922
royals:ck2:923	royals:ck2:923
royals:ck2:924	royals:ck2:924
royals:ck2:925	royals:ck2:925
royals:ck2:926	royals:ck2:926
royals:ck2:927	royals:ck2:927
royals:ck2:928	royals:ck2:928
royals:ck2:929	royals:ck2:929
royals:ck2:930	royals:ck2:930
royals:ck2:931	royals:ck2:931
royals:ck2:932	royals:ck2:932
royals:ck2:933	royals:ck2:933
royals:ck2:934	royals:ck2:934
royals:ck2:935	royals:ck2:935
royals:ck2:936	royals:ck2:936
royals:ck2:937	royals:ck2:937
royals:ck2:938	royals:ck2:938
royals:ck2:939	royals:ck2:939
royals:ck2:940	royals:ck2:940
royals:ck2:941	royals:ck2:941
royals:ck2:942	royals:ck2:942
royals:ck2:943	royals:ck2:943
royals:ck2:944	royals:ck2:944
royals:ck2:945	royals:ck2:945
royals:ck2:946	royals:ck2:946
royals:ck2:947	royals:ck2:947
royals:ck2:948	royals:ck2:948
royals:ck2:949	royals:ck2:949
royals:ck2:950	royals:ck2:950
royals:ck2:951	royals:ck2:951
royals:ck2:952	royals:ck2:952
royals:ck2:953	royals:ck2:953
royals:ck2:970	royals:ck2:970
royals:ck2:971	royals:ck2:971
royals:ck2:972	royals:ck2:972
royals:ck2:973	royals:ck2:973
royals:ck2:974	royals:ck2:974
royals:ck2:975	royals:ck2:975
royals:ck2:976	royals:ck2:976
royals:ck2:977	royals:ck2:977
royals:ck2:978	royals:ck2:978
royals:ck2:979	royals:ck2:979
royals:ck2:980	royals:ck2:980
royals:ck2:981	royals:ck2:981
royals:ck2:1002	Q3371329
royals:ck2:1003	royals:ck2:1003
royals:ck2:1004	royals:ck2:1004
royals:ck2:1005	royals:ck2:1005
royals:ck2:1007	Q10437812
royals:ck2:1008	royals:ck2:1008
royals:ck2:1009	royals:ck2:1009
royals:ck2:1010	royals:ck2:1010
royals:ck2:1011	royals:ck2:1011
royals:ck2:1012	royals:ck2:1012
royals:ck2:1013	royals:ck2:1013
royals:ck2:1014	royals:ck2:1014
royals:ck2:1015	royals:ck2:1015
royals:ck2:1016	royals:ck2:1016
royals:ck2:1017	royals:ck2:1017
royals:ck2:1018	royals:ck2:1018
royals:ck2:1019	royals:ck2:1019
royals:ck2:1020	royals:ck2:1020
royals:ck2:1021	royals:ck2:1021
royals:ck2:1022	royals:ck2:1022
royals:ck2:1023	royals:ck2:1023
royals:ck2:1024	royals:ck2:1024
royals:ck2:1025	royals:ck2:1025
royals:ck2:1026	royals:ck2:1026
royals:ck2:1029	royals:ck2:1029
royals:ck2:1030	Q10677389
royals:ck2:1031	Q552738
royals:ck2:1032	Q117512
royals:ck2:1033	royals:ck2:1033
royals:ck2:1034	royals:ck2:1034
royals:ck2:1035	royals:ck2:1035
royals:ck2:1036	royals:ck2:1036
royals:ck2:1037	royals:ck2:1037
royals:ck2:1038	royals:ck2:1038
royals:ck2:1040	Q4992340
royals:ck2:1042	royals:ck2:1042
royals:ck2:1043	royals:ck2:1043
royals:ck2:1044	royals:ck2:1044
royals:ck2:1045	royals:ck2:1045
royals:ck2:1046	royals:ck2:1046
royals:ck2:1047	royals:ck2:1047
royals:ck2:1048	royals:ck2:1048
royals:ck2:1049	royals:ck2:1049
royals:ck2:1050	Q10571836
royals:ck2:1052	royals:ck2:1052
royals:ck2:1053	royals:ck2:1053
royals:ck2:1054	royals:ck2:1054
royals:ck2:1055	royals:ck2:1055
royals:ck2:1056	royals:ck2:1056
royals:ck2:1057	royals:ck2:1057
royals:ck2:1058	royals:ck2:1058
royals:ck2:1059	royals:ck2:1059
royals:ck2:1060	royals:ck2:1060
royals:ck2:1144	royals:ck2:1144
royals:ck2:1150	royals:ck2:1150
royals:ck2:1151	royals:ck2:1151
royals:ck2:1152	royals:ck2:1152
royals:ck2:1153	royals:ck2:1153
royals:ck2:1154	royals:ck2:1154
royals:ck2:1155	royals:ck2:1155
royals:ck2:1156	royals:ck2:1156
royals:ck2:1158	royals:ck2:1158
royals:ck2:1159	royals:ck2:1159
royals:ck2:1160	royals:ck2:1160
royals:ck2:1161	royals:ck2:1161
royals:ck2:1162	royals:ck2:1162
royals:ck2:1163	royals:ck2:1163
royals:ck2:1164	royals:ck2:1164
royals:ck2:1165	royals:ck2:1165
royals:ck2:1166	royals:ck2:1166
royals:ck2:1167	royals:ck2:1167
royals:ck2:1168	royals:ck2:1168
royals:ck2:1169	royals:ck2:1169
royals:ck2:1170	royals:ck2:1170
royals:ck2:1171	royals:ck2:1171
royals:ck2:1172	royals:ck2:1172
royals:ck2:1173	royals:ck2:1173
royals:ck2:1174	royals:ck2:1174
royals:ck2:1175	royals:ck2:1175
royals:ck2:1176	royals:ck2:1176
royals:ck2:1177	royals:ck2:1177
royals:ck2:1178	royals:ck2:1178
royals:ck2:1179	royals:ck2:1179
royals:ck2:1180	royals:ck2:1180
royals:ck2:1181	royals:ck2:1181
royals:ck2:1182	royals:ck2:1182
royals:ck2:1183	royals:ck2:1183
royals:ck2:1184	royals:ck2:1184
royals:ck2:1185	royals:ck2:1185
royals:ck2:1186	royals:ck2:1186
royals:ck2:1187	royals:ck2:1187
royals:ck2:1188	royals:ck2:1188
royals:ck2:1189	royals:ck2:1189
royals:ck2:1190	royals:ck2:1190
royals:ck2:1191	royals:ck2:1191
royals:ck2:1192	royals:ck2:1192
royals:ck2:1193	royals:ck2:1193
royals:ck2:1194	royals:ck2:1194
royals:ck2:1195	royals:ck2:1195
royals:ck2:1196	royals:ck2:1196
royals:ck2:1197	royals:ck2:1197
royals:ck2:1198	royals:ck2:1198
royals:ck2:1199	royals:ck2:1199
royals:ck2:1200	royals:ck2:1200
royals:ck2:1201	royals:ck2:1201
royals:ck2:1202	royals:ck2:1202
royals:ck2:1203	royals:ck2:1203
royals:ck2:1204	royals:ck2:1204
royals:ck2:1205	royals:ck2:1205
royals:ck2:1206	royals:ck2:1206
royals:ck2:1207	royals:ck2:1207
royals:ck2:1208	royals:ck2:1208
royals:ck2:1209	royals:ck2:1209
royals:ck2:1210	royals:ck2:1210
royals:ck2:1211	royals:ck2:1211
royals:ck2:1212	royals:ck2:1212
royals:ck2:1213	royals:ck2:1213
royals:ck2:1214	royals:ck2:1214
royals:ck2:1215	royals:ck2:1215
royals:ck2:1216	royals:ck2:1216
royals:ck2:1217	royals:ck2:1217
royals:ck2:1218	royals:ck2:1218
royals:ck2:1219	royals:ck2:1219
royals:ck2:1220	royals:ck2:1220
royals:ck2:1221	royals:ck2:1221
royals:ck2:1222	royals:ck2:1222
royals:ck2:1223	royals:ck2:1223
royals:ck2:1224	royals:ck2:1224
royals:ck2:1225	royals:ck2:1225
royals:ck2:1226	royals:ck2:1226
royals:ck2:1227	royals:ck2:1227
royals:ck2:1687	royals:ck2:1687
royals:ck2:2000	royals:ck2:2000
royals:ck2:2001	royals:ck2:2001
royals:ck2:2002	royals:ck2:2002
royals:ck2:2003	royals:ck2:2003
royals:ck2:2004	royals:ck2:2004
royals:ck2:2005	royals:ck2:2005
royals:ck2:2006	royals:ck2:2006
royals:ck2:2007	royals:ck2:2007
royals:ck2:2008	royals:ck2:2008
royals:ck2:2009	royals:ck2:2009
royals:ck2:2010	Q10434872
royals:ck2:2011	royals:ck2:2011
royals:ck2:2012	royals:ck2:2012
royals:ck2:2013	royals:ck2:2013
royals:ck2:2014	royals:ck2:2014
royals:ck2:2015	royals:ck2:2015
royals:ck2:2016	royals:ck2:2016
royals:ck2:2017	royals:ck2:2017
royals:ck2:2018	royals:ck2:2018
royals:ck2:2019	royals:ck2:2019
royals:ck2:2020	royals:ck2:2020
royals:ck2:2021	royals:ck2:2021
royals:ck2:2022	royals:ck2:2022
royals:ck2:2023	royals:ck2:2023
royals:ck2:2024	royals:ck2:2024
royals:ck2:2025	royals:ck2:2025
royals:ck2:2026	royals:ck2:2026
royals:ck2:2027	Q5566012
royals:ck2:2028	royals:ck2:2028
royals:ck2:2029	royals:ck2:2029
royals:ck2:2030	royals:ck2:2030
royals:ck2:2031	royals:ck2:2031
royals:ck2:2032	royals:ck2:2032
royals:ck2:2033	royals:ck2:2033
royals:ck2:2034	royals:ck2:2034
royals:ck2:2035	royals:ck2:2035
royals:ck2:2036	royals:ck2:2036
royals:ck2:2037	royals:ck2:2037
royals:ck2:2038	royals:ck2:2038
royals:ck2:2039	Q17750724
royals:ck2:2040	royals:ck2:2040
royals:ck2:2041	royals:ck2:2041
royals:ck2:2042	royals:ck2:2042
royals:ck2:2043	royals:ck2:2043
royals:ck2:2044	royals:ck2:2044
royals:ck2:2045	royals:ck2:2045
royals:ck2:2046	royals:ck2:2046
royals:ck2:2047	royals:ck2:2047
royals:ck2:2050	royals:ck2:2050
royals:ck2:3092	royals:ck2:3092
royals:ck2:3093	royals:ck2:3093
royals:ck2:3094	royals:ck2:3094
royals:ck2:3100	royals:ck2:3100
royals:ck2:3101	royals:ck2:3101
royals:ck2:3102	royals:ck2:3102
royals:ck2:3103	royals:ck2:3103
royals:ck2:3104	royals:ck2:3104
royals:ck2:3105	royals:ck2:3105
royals:ck2:3106	royals:ck2:3106
royals:ck2:3107	royals:ck2:3107
royals:ck2:3108	royals:ck2:3108
royals:ck2:3109	royals:ck2:3109
royals:ck2:3110	royals:ck2:3110
royals:ck2:3111	royals:ck2:3111
royals:ck2:3112	royals:ck2:3112
royals:ck2:3113	royals:ck2:3113
royals:ck2:3117	royals:ck2:3117
royals:ck2:3119	royals:ck2:3119
royals:ck2:3099	royals:ck2:3099
royals:ck2:3098	royals:ck2:3098
royals:ck2:3097	royals:ck2:3097
royals:ck2:3138	royals:ck2:3138
royals:ck2:3114	royals:ck2:3114
royals:ck2:3115	royals:ck2:3115
royals:ck2:3116	royals:ck2:3116
royals:ck2:3096	royals:ck2:3096
royals:ck2:3118	royals:ck2:3118
royals:ck2:3095	royals:ck2:3095
royals:ck2:3120	royals:ck2:3120
royals:ck2:3121	royals:ck2:3121
royals:ck2:3122	royals:ck2:3122
royals:ck2:3123	royals:ck2:3123
royals:ck2:3124	royals:ck2:3124
royals:ck2:3125	royals:ck2:3125
royals:ck2:3126	royals:ck2:3126
royals:ck2:3127	royals:ck2:3127
royals:ck2:3128	royals:ck2:3128
royals:ck2:3129	royals:ck2:3129
royals:ck2:3130	royals:ck2:3130
royals:ck2:3131	royals:ck2:3131
royals:ck2:3132	royals:ck2:3132
royals:ck2:3133	royals:ck2:3133
royals:ck2:3134	royals:ck2:3134
royals:ck2:3135	royals:ck2:3135
royals:ck2:3140	royals:ck2:3140
royals:ck2:3141	royals:ck2:3141
royals:ck2:3142	royals:ck2:3142
royals:ck2:3143	royals:ck2:3143
royals:ck2:3145	royals:ck2:3145
royals:ck2:3146	royals:ck2:3146
royals:ck2:3811	Q892217
royals:ck2:3950	royals:ck2:3950
royals:ck2:3951	royals:ck2:3951
royals:ck2:3952	royals:ck2:3952
royals:ck2:3953	royals:ck2:3953
royals:ck2:4000	royals:ck2:4000
royals:ck2:4001	royals:ck2:4001
royals:ck2:4002	royals:ck2:4002
royals:ck2:4003	royals:ck2:4003
royals:ck2:4004	royals:ck2:4004
royals:ck2:4005	royals:ck2:4005
royals:ck2:4007	royals:ck2:4007
royals:ck2:4008	royals:ck2:4008
royals:ck2:4009	royals:ck2:4009
royals:ck2:4010	royals:ck2:4010
royals:ck2:4011	royals:ck2:4011
royals:ck2:4012	royals:ck2:4012
royals:ck2:4013	royals:ck2:4013
royals:ck2:4014	royals:ck2:4014
royals:ck2:4015	royals:ck2:4015
royals:ck2:4016	royals:ck2:4016
royals:ck2:4017	royals:ck2:4017
royals:ck2:4018	royals:ck2:4018
royals:ck2:4019	royals:ck2:4019
royals:ck2:4020	royals:ck2:4020
royals:ck2:4021	royals:ck2:4021
royals:ck2:4022	royals:ck2:4022
royals:ck2:4023	royals:ck2:4023
royals:ck2:4024	royals:ck2:4024
royals:ck2:4025	royals:ck2:4025
royals:ck2:4026	royals:ck2:4026
royals:ck2:4027	royals:ck2:4027
royals:ck2:4028	royals:ck2:4028
royals:ck2:4029	royals:ck2:4029
royals:ck2:4030	royals:ck2:4030
royals:ck2:4031	royals:ck2:4031
royals:ck2:4032	royals:ck2:4032
royals:ck2:4033	royals:ck2:4033
royals:ck2:4034	royals:ck2:4034
royals:ck2:4035	royals:ck2:4035
royals:ck2:4036	royals:ck2:4036
royals:ck2:4037	royals:ck2:4037
royals:ck2:4038	royals:ck2:4038
royals:ck2:4039	royals:ck2:4039
royals:ck2:4040	royals:ck2:4040
royals:ck2:4041	royals:ck2:4041
royals:ck2:4042	royals:ck2:4042
royals:ck2:4043	royals:ck2:4043
royals:ck2:4044	royals:ck2:4044
royals:ck2:4045	royals:ck2:4045
royals:ck2:4046	royals:ck2:4046
royals:ck2:4047	royals:ck2:4047
royals:ck2:5000	royals:ck2:5000
royals:ck2:5001	royals:ck2:5001
royals:ck2:5002	royals:ck2:5002
royals:ck2:5003	royals:ck2:5003
royals:ck2:5004	royals:ck2:5004
royals:ck2:5005	royals:ck2:5005
royals:ck2:5006	royals:ck2:5006
royals:ck2:5007	royals:ck2:5007
royals:ck2:5008	royals:ck2:5008
royals:ck2:5009	royals:ck2:5009
royals:ck2:5010	royals:ck2:5010
royals:ck2:5011	royals:ck2:5011
royals:ck2:5012	royals:ck2:5012
royals:ck2:5013	royals:ck2:5013
royals:ck2:5014	royals:ck2:5014
royals:ck2:5015	royals:ck2:5015
royals:ck2:5016	royals:ck2:5016
royals:ck2:5017	royals:ck2:5017
royals:ck2:5018	royals:ck2:5018
royals:ck2:5019	royals:ck2:5019
royals:ck2:5020	royals:ck2:5020
royals:ck2:5021	royals:ck2:5021
royals:ck2:5022	royals:ck2:5022
royals:ck2:5023	royals:ck2:5023
royals:ck2:5024	royals:ck2:5024
royals:ck2:5025	royals:ck2:5025
royals:ck2:5026	royals:ck2:5026
royals:ck2:5027	royals:ck2:5027
royals:ck2:5028	royals:ck2:5028
royals:ck2:5029	royals:ck2:5029
royals:ck2:5030	royals:ck2:5030
royals:ck2:5031	royals:ck2:5031
royals:ck2:5032	royals:ck2:5032
royals:ck2:5033	royals:ck2:5033
royals:ck2:5034	royals:ck2:5034
royals:ck2:5035	royals:ck2:5035
royals:ck2:5036	royals:ck2:5036
royals:ck2:5037	royals:ck2:5037
royals:ck2:5038	royals:ck2:5038
royals:ck2:5039	royals:ck2:5039
royals:ck2:5040	royals:ck2:5040
royals:ck2:5041	royals:ck2:5041
royals:ck2:5043	royals:ck2:5043
royals:ck2:5044	royals:ck2:5044
royals:ck2:5045	royals:ck2:5045
royals:ck2:5046	royals:ck2:5046
royals:ck2:5047	royals:ck2:5047
royals:ck2:5048	royals:ck2:5048
royals:ck2:5049	royals:ck2:5049
royals:ck2:5050	royals:ck2:5050
royals:ck2:5051	royals:ck2:5051
royals:ck2:5052	royals:ck2:5052
royals:ck2:5053	royals:ck2:5053
royals:ck2:5054	royals:ck2:5054
royals:ck2:5055	royals:ck2:5055
royals:ck2:5056	royals:ck2:5056
royals:ck2:5057	royals:ck2:5057
royals:ck2:5058	royals:ck2:5058
royals:ck2:5059	royals:ck2:5059
royals:ck2:5060	royals:ck2:5060
royals:ck2:5061	royals:ck2:5061
royals:ck2:5062	royals:ck2:5062
royals:ck2:5063	royals:ck2:5063
royals:ck2:5064	royals:ck2:5064
royals:ck2:5065	royals:ck2:5065
royals:ck2:5066	royals:ck2:5066
royals:ck2:5067	royals:ck2:5067
royals:ck2:5068	royals:ck2:5068
royals:ck2:5069	royals:ck2:5069
royals:ck2:5070	royals:ck2:5070
royals:ck2:5071	royals:ck2:5071
royals:ck2:5072	royals:ck2:5072
royals:ck2:5073	royals:ck2:5073
royals:ck2:5074	royals:ck2:5074
royals:ck2:5075	royals:ck2:5075
royals:ck2:5076	royals:ck2:5076
royals:ck2:5077	royals:ck2:5077
royals:ck2:5078	royals:ck2:5078
royals:ck2:5079	royals:ck2:5079
royals:ck2:5080	royals:ck2:5080
royals:ck2:5081	royals:ck2:5081
royals:ck2:5082	royals:ck2:5082
royals:ck2:5083	royals:ck2:5083
royals:ck2:5084	royals:ck2:5084
royals:ck2:5085	royals:ck2:5085
royals:ck2:5086	royals:ck2:5086
royals:ck2:5087	royals:ck2:5087
royals:ck2:5088	royals:ck2:5088
royals:ck2:5089	royals:ck2:5089
royals:ck2:5090	royals:ck2:5090
royals:ck2:5091	royals:ck2:5091
royals:ck2:5092	royals:ck2:5092
royals:ck2:5093	royals:ck2:5093
royals:ck2:5094	royals:ck2:5094
royals:ck2:5095	royals:ck2:5095
royals:ck2:5096	royals:ck2:5096
royals:ck2:5097	royals:ck2:5097
royals:ck2:5098	royals:ck2:5098
royals:ck2:5099	royals:ck2:5099
royals:ck2:5100	royals:ck2:5100
royals:ck2:5101	royals:ck2:5101
royals:ck2:5102	royals:ck2:5102
royals:ck2:5103	royals:ck2:5103
royals:ck2:5104	royals:ck2:5104
royals:ck2:5105	royals:ck2:5105
royals:ck2:5106	royals:ck2:5106
royals:ck2:5107	royals:ck2:5107
royals:ck2:5108	royals:ck2:5108
royals:ck2:5109	royals:ck2:5109
royals:ck2:5110	royals:ck2:5110
royals:ck2:5111	royals:ck2:5111
royals:ck2:5112	royals:ck2:5112
royals:ck2:5113	royals:ck2:5113
royals:ck2:5114	royals:ck2:5114
royals:ck2:5115	royals:ck2:5115
royals:ck2:5116	royals:ck2:5116
royals:ck2:5117	royals:ck2:5117
royals:ck2:6000	royals:ck2:6000
royals:ck2:6001	royals:ck2:6001
royals:ck2:6002	royals:ck2:6002
royals:ck2:6003	royals:ck2:6003
royals:ck2:6004	royals:ck2:6004
royals:ck2:6005	royals:ck2:6005
royals:ck2:6006	royals:ck2:6006
royals:ck2:6007	royals:ck2:6007
royals:ck2:6008	royals:ck2:6008
royals:ck2:6009	royals:ck2:6009
royals:ck2:6010	royals:ck2:6010
royals:ck2:6011	royals:ck2:6011
royals:ck2:6012	royals:ck2:6012
royals:ck2:6013	royals:ck2:6013
royals:ck2:6014	royals:ck2:6014
royals:ck2:6015	royals:ck2:6015
royals:ck2:6016	royals:ck2:6016
royals:ck2:6017	royals:ck2:6017
royals:ck2:6018	royals:ck2:6018
royals:ck2:6019	royals:ck2:6019
royals:ck2:6021	royals:ck2:6021
royals:ck2:6022	royals:ck2:6022
royals:ck2:7000	royals:ck2:7000
royals:ck2:7001	royals:ck2:7001
royals:ck2:7002	royals:ck2:7002
royals:ck2:7003	royals:ck2:7003
royals:ck2:7004	royals:ck2:7004
royals:ck2:7005	royals:ck2:7005
royals:ck2:7006	royals:ck2:7006
royals:ck2:7007	royals:ck2:7007
royals:ck2:7008	royals:ck2:7008
royals:ck2:7009	royals:ck2:7009
royals:ck2:7010	royals:ck2:7010
royals:ck2:7011	royals:ck2:7011
royals:ck2:7012	royals:ck2:7012
royals:ck2:7013	royals:ck2:7013
royals:ck2:7014	royals:ck2:7014
royals:ck2:7015	royals:ck2:7015
royals:ck2:7016	royals:ck2:7016
royals:ck2:7017	royals:ck2:7017
royals:ck2:7018	royals:ck2:7018
royals:ck2:7019	royals:ck2:7019
royals:ck2:7020	royals:ck2:7020
royals:ck2:7021	royals:ck2:7021
royals:ck2:7022	royals:ck2:7022
royals:ck2:7023	royals:ck2:7023
royals:ck2:7024	royals:ck2:7024
royals:ck2:7025	royals:ck2:7025
royals:ck2:7026	royals:ck2:7026
royals:ck2:7027	royals:ck2:7027
royals:ck2:7028	royals:ck2:7028
royals:ck2:7029	royals:ck2:7029
royals:ck2:7030	royals:ck2:7030
royals:ck2:7031	royals:ck2:7031
royals:ck2:7032	royals:ck2:7032
royals:ck2:7033	royals:ck2:7033
royals:ck2:70434	royals:ck2:70434
royals:ck2:7035	royals:ck2:7035
royals:ck2:7036	royals:ck2:7036
royals:ck2:7037	royals:ck2:7037
royals:ck2:7038	royals:ck2:7038
royals:ck2:7039	royals:ck2:7039
royals:ck2:7040	royals:ck2:7040
royals:ck2:7041	royals:ck2:7041
royals:ck2:7042	royals:ck2:7042
royals:ck2:7043	royals:ck2:7043
royals:ck2:7044	royals:ck2:7044
royals:ck2:7045	royals:ck2:7045
royals:ck2:7046	royals:ck2:7046
royals:ck2:7047	royals:ck2:7047
royals:ck2:7048	royals:ck2:7048
royals:ck2:7049	royals:ck2:7049
royals:ck2:7050	royals:ck2:7050
royals:ck2:7051	royals:ck2:7051
royals:ck2:7052	royals:ck2:7052
royals:ck2:7100	royals:ck2:7100
royals:ck2:7101	royals:ck2:7101
royals:ck2:7102	royals:ck2:7102
royals:ck2:7103	royals:ck2:7103
royals:ck2:7104	royals:ck2:7104
royals:ck2:7105	royals:ck2:7105
royals:ck2:7106	royals:ck2:7106
royals:ck2:7107	royals:ck2:7107
royals:ck2:7108	royals:ck2:7108
royals:ck2:7109	royals:ck2:7109
royals:ck2:7110	royals:ck2:7110
royals:ck2:7111	royals:ck2:7111
royals:ck2:7112	royals:ck2:7112
royals:ck2:7113	royals:ck2:7113
royals:ck2:7114	royals:ck2:7114
royals:ck2:7115	royals:ck2:7115
royals:ck2:7116	royals:ck2:7116
royals:ck2:7117	royals:ck2:7117
royals:ck2:7118	royals:ck2:7118
royals:ck2:7119	royals:ck2:7119
royals:ck2:7120	royals:ck2:7120
royals:ck2:7121	royals:ck2:7121
royals:ck2:7122	royals:ck2:7122
royals:ck2:7123	royals:ck2:7123
royals:ck2:7124	royals:ck2:7124
royals:ck2:7125	royals:ck2:7125
royals:ck2:7126	royals:ck2:7126
royals:ck2:7127	royals:ck2:7127
royals:ck2:7128	royals:ck2:7128
royals:ck2:7129	royals:ck2:7129
royals:ck2:7130	royals:ck2:7130
royals:ck2:7131	royals:ck2:7131
royals:ck2:7132	royals:ck2:7132
royals:ck2:7133	royals:ck2:7133
royals:ck2:7134	royals:ck2:7134
royals:ck2:7135	royals:ck2:7135
royals:ck2:7136	royals:ck2:7136
royals:ck2:7137	royals:ck2:7137
royals:ck2:7138	royals:ck2:7138
royals:ck2:7139	royals:ck2:7139
royals:ck2:7140	royals:ck2:7140
royals:ck2:7141	royals:ck2:7141
royals:ck2:7142	royals:ck2:7142
royals:ck2:7143	royals:ck2:7143
royals:ck2:7144	royals:ck2:7144
royals:ck2:7145	royals:ck2:7145
royals:ck2:7146	royals:ck2:7146
royals:ck2:7147	royals:ck2:7147
royals:ck2:7148	royals:ck2:7148
royals:ck2:7149	royals:ck2:7149
royals:ck2:7150	royals:ck2:7150
royals:ck2:7151	royals:ck2:7151
royals:ck2:7152	royals:ck2:7152
royals:ck2:7153	royals:ck2:7153
royals:ck2:7154	royals:ck2:7154
royals:ck2:7155	royals:ck2:7155
royals:ck2:7156	royals:ck2:7156
royals:ck2:7157	royals:ck2:7157
royals:ck2:7158	royals:ck2:7158
royals:ck2:7159	royals:ck2:7159
royals:ck2:7160	royals:ck2:7160
royals:ck2:7161	royals:ck2:7161
royals:ck2:7162	royals:ck2:7162
royals:ck2:7163	royals:ck2:7163
royals:ck2:7164	royals:ck2:7164
royals:ck2:7165	royals:ck2:7165
royals:ck2:7166	royals:ck2:7166
royals:ck2:7167	royals:ck2:7167
royals:ck2:7168	royals:ck2:7168
royals:ck2:7169	royals:ck2:7169
royals:ck2:7170	royals:ck2:7170
royals:ck2:7171	royals:ck2:7171
royals:ck2:7172	royals:ck2:7172
royals:ck2:7173	royals:ck2:7173
royals:ck2:7174	royals:ck2:7174
royals:ck2:7175	royals:ck2:7175
royals:ck2:7176	royals:ck2:7176
royals:ck2:7177	royals:ck2:7177
royals:ck2:7178	royals:ck2:7178
royals:ck2:7180	royals:ck2:7180
royals:ck2:7181	royals:ck2:7181
royals:ck2:7182	royals:ck2:7182
royals:ck2:7183	royals:ck2:7183
royals:ck2:7184	Q48809503
royals:ck2:7185	royals:ck2:7185
royals:ck2:7186	royals:ck2:7186
royals:ck2:7187	royals:ck2:7187
royals:ck2:7188	royals:ck2:7188
royals:ck2:7189	royals:ck2:7189
royals:ck2:7190	royals:ck2:7190
royals:ck2:7191	royals:ck2:7191
royals:ck2:7192	royals:ck2:7192
royals:ck2:7193	royals:ck2:7193
royals:ck2:7194	royals:ck2:7194
royals:ck2:7195	royals:ck2:7195
royals:ck2:7196	royals:ck2:7196
royals:ck2:7197	royals:ck2:7197
royals:ck2:7198	royals:ck2:7198
royals:ck2:7199	royals:ck2:7199
royals:ck2:7200	royals:ck2:7200
royals:ck2:7201	royals:ck2:7201
royals:ck2:7202	royals:ck2:7202
royals:ck2:7203	royals:ck2:7203
royals:ck2:7204	royals:ck2:7204
royals:ck2:7205	royals:ck2:7205
royals:ck2:7206	royals:ck2:7206
royals:ck2:7207	royals:ck2:7207
royals:ck2:7208	royals:ck2:7208
royals:ck2:7209	royals:ck2:7209
royals:ck2:7210	royals:ck2:7210
royals:ck2:7211	royals:ck2:7211
royals:ck2:7212	royals:ck2:7212
royals:ck2:7213	royals:ck2:7213
royals:ck2:7214	royals:ck2:7214
royals:ck2:7215	royals:ck2:7215
royals:ck2:7216	royals:ck2:7216
royals:ck2:7217	royals:ck2:7217
royals:ck2:7218	royals:ck2:7218
royals:ck2:7219	royals:ck2:7219
royals:ck2:7220	royals:ck2:7220
royals:ck2:7221	royals:ck2:7221
royals:ck2:7222	royals:ck2:7222
royals:ck2:7223	royals:ck2:7223
royals:ck2:7224	royals:ck2:7224
royals:ck2:7225	royals:ck2:7225
royals:ck2:7226	royals:ck2:7226
royals:ck2:7227	royals:ck2:7227
royals:ck2:7228	royals:ck2:7228
royals:ck2:7229	royals:ck2:7229
royals:ck2:7230	royals:ck2:7230
royals:ck2:7231	royals:ck2:7231
royals:ck2:7232	royals:ck2:7232
royals:ck2:7233	royals:ck2:7233
royals:ck2:7235	royals:ck2:7235
royals:ck2:7236	royals:ck2:7236
royals:ck2:7237	royals:ck2:7237
royals:ck2:7238	royals:ck2:7238
royals:ck2:7239	royals:ck2:7239
royals:ck2:7240	royals:ck2:7240
royals:ck2:7241	royals:ck2:7241
royals:ck2:7242	royals:ck2:7242
royals:ck2:7244	royals:ck2:7244
royals:ck2:7245	royals:ck2:7245
royals:ck2:7246	royals:ck2:7246
royals:ck2:7248	royals:ck2:7248
royals:ck2:7249	royals:ck2:7249
royals:ck2:7250	royals:ck2:7250
royals:ck2:7251	royals:ck2:7251
royals:ck2:7252	royals:ck2:7252
royals:ck2:7253	royals:ck2:7253
royals:ck2:7254	royals:ck2:7254
royals:ck2:7255	royals:ck2:7255
royals:ck2:7256	royals:ck2:7256
royals:ck2:7257	royals:ck2:7257
royals:ck2:7258	royals:ck2:7258
royals:ck2:7259	royals:ck2:7259
royals:ck2:7260	royals:ck2:7260
royals:ck2:7262	royals:ck2:7262
royals:ck2:7263	royals:ck2:7263
royals:ck2:7264	royals:ck2:7264
royals:ck2:7265	royals:ck2:7265
royals:ck2:7266	royals:ck2:7266
royals:ck2:7267	royals:ck2:7267
royals:ck2:7268	royals:ck2:7268
royals:ck2:7269	royals:ck2:7269
royals:ck2:7270	royals:ck2:7270
royals:ck2:7271	royals:ck2:7271
royals:ck2:7272	royals:ck2:7272
